Salesforce_ID,CreatedDate,FirstName,LastName,Email,Phone,Company,LeadSource,Status,Churn
SF-1ec2149c,2023-11-25T09:53:21.368341,Brenda,Alvarez,pmejia@example.com,554-691-6955x218,Vincent and Sons,Cold Call,Closed - Lost,1
SF-ece0470d,2024-12-06T01:04:09.178083,James,Jordan,debbieadams@example.com,875.803.8797x1492,Williams Inc,Cold Call,Nurturing,0
SF-41bb61af,2025-01-31T05:04:31.576761,John,Collins,ashleyodonnell@example.org,+1-393-706-4009x082,Smith-Reed,Cold Call,Closed - Lost,1
SF-57ccf4d9,2023-08-07T21:23:23.901372,Chelsea,Robertson,bradleygraham@example.com,(918)786-0296,"Smith, Jackson and Castillo",Partner,Closed - Lost,0
SF-a539b7f6,2024-10-28T09:32:55.055143,Tanya,Henderson,crodriguez@example.org,(624)532-3560,Meyer Ltd,Partner,Nurturing,1
SF-c538a89c,2024-02-17T04:50:54.460860,Jacob,Mann,tfowler@example.org,+1-792-235-5872x330,"Brown, Bauer and Smith",Partner,Working,0
SF-cc82f597,2025-01-30T00:12:51.919907,James,Kim,natashabailey@example.com,+1-249-556-7964x42897,Francis-Lopez,Cold Call,Nurturing,0
SF-f5147a2e,2024-03-02T18:30:43.113613,Jason,Miller,ogarcia@example.com,863.400.6518x661,Walters PLC,Trade Show,New,0
SF-7ed8b728,2024-10-03T07:54:24.465941,Melissa,Cameron,amoore@example.org,940-218-3643x5197,Williams PLC,Cold Call,Nurturing,0
SF-3edc1ed3,2023-08-28T23:58:54.563288,Ana,Taylor,ybrown@example.org,001-216-930-1407x7593,Stewart Group,Cold Call,Nurturing,0
SF-0da1b70d,2024-08-29T00:38:05.992893,Peggy,Gilmore,tcastro@example.com,672.843.6870x420,Rodgers-Walton,Cold Call,Closed - Lost,0
SF-6a7e78bb,2024-08-08T09:38:52.199014,Andrew,Morgan,jeremymays@example.org,706.633.3304,Wyatt and Sons,Referral,Converted,0
SF-6c7053ea,2024-04-28T19:07:45.237913,Edward,Williams,breweramber@example.net,6906802791,Griffith Ltd,Cold Call,Nurturing,0
SF-73a20484,2025-02-18T09:46:10.172609,Tamara,Davidson,millereric@example.com,340-724-5325x893,"Hall, Reed and Allen",Web,Closed - Lost,1
SF-bd40c9e4,2024-04-02T22:16:38.619864,Alan,Copeland,richardalvarado@example.org,952-483-2826,"Johnson, Cox and Diaz",Cold Call,Working,0
SF-3f01d7a3,2024-03-13T16:39:57.257668,Jose,Powell,john48@example.org,483-785-0256,Holland PLC,Referral,Converted,0
SF-d7b91d7f,2024-02-13T14:51:03.967386,Justin,Wolf,danielcole@example.net,5344346009,"Ryan, Brown and Thompson",Trade Show,Nurturing,0
SF-18aabba4,2024-01-28T11:40:00.512594,Crystal,Kelly,natashasmith@example.net,001-895-336-7460,"Benton, Jones and Kaufman",Trade Show,Working,0
SF-4b476e37,2023-10-26T23:43:26.554004,James,Hughes,gabrielle84@example.net,564.573.6147x86151,Mata-Garza,Referral,New,0
SF-fc8c970f,2024-12-11T12:39:20.322729,Victoria,Mckinney,luisbaker@example.net,+1-978-998-4475x6686,Mcclure and Sons,Cold Call,Closed - Lost,1
SF-315951d5,2024-07-03T09:27:30.754568,Maureen,James,gbass@example.com,855.757.5783x74317,"Morrison, Moore and Elliott",Partner,New,0
SF-849f4781,2024-04-01T01:44:07.801943,Maria,Robinson,katherine48@example.com,(982)821-7058x3287,"Olson, Young and Jones",Web,New,0
SF-5447b138,2024-02-18T09:13:26.071277,Jeremy,Morrison,juan91@example.org,8309320297,"Clayton, Mcfarland and Kemp",Trade Show,Converted,1
SF-f7fa0dab,2024-11-02T10:50:48.088104,Erica,Thomas,ygarcia@example.net,(831)768-5984x56449,"Young, Little and Smith",Cold Call,Nurturing,0
SF-682e9da3,2024-07-15T08:16:00.312389,Elizabeth,Harrell,meganshepard@example.org,+1-712-819-4837x259,Moore Ltd,Trade Show,Working,1
SF-d8ac44dc,2025-02-03T20:49:40.856817,Daisy,Johnson,molly37@example.org,478.547.6701x7159,Clarke-Farmer,Cold Call,Closed - Lost,1
SF-d43eb12e,2023-03-12T01:06:03.694310,Charles,Peterson,joseph80@example.net,8992448757,Grant Group,Trade Show,Converted,0
SF-b2251ab8,2023-07-29T20:22:47.901294,Marie,Green,samantha77@example.net,(551)749-3543,"Faulkner, Cox and George",Cold Call,Closed - Lost,1
SF-a21091ad,2023-04-14T15:29:52.533752,Cynthia,Johnson,sjones@example.com,580-894-5300x77918,Rogers LLC,Partner,Nurturing,0
SF-47320715,2025-01-10T04:39:09.795862,James,Taylor,gonzalezjacob@example.com,001-917-685-5777x4725,Reyes-Smith,Web,Working,0
SF-d3b96071,2023-06-25T10:15:44.408877,Jennifer,Martin,gamblemichael@example.com,001-305-566-5657,Barker LLC,Cold Call,Nurturing,0
SF-77c66d1b,2023-05-14T21:01:53.381636,Elizabeth,Mitchell,megan95@example.net,(697)442-5158,Watkins-Hall,Web,Nurturing,0
SF-b6c9c26f,2024-05-04T01:48:45.731346,Timothy,Jackson,baileykyle@example.net,812-819-1764x66430,Gibson LLC,Referral,Closed - Lost,0
SF-8563209a,2023-04-14T20:17:35.589502,Michelle,Nunez,hmcgrath@example.org,558-615-3931x102,Campbell-Torres,Referral,New,1
SF-fcbcfaef,2023-08-31T09:06:50.435128,Russell,Cook,millerchristina@example.net,(520)352-0099x417,"Hawkins, Harrison and Krause",Trade Show,Closed - Lost,1
SF-4164f906,2023-12-04T10:29:41.434047,Jennifer,Bonilla,nwhite@example.org,001-804-425-1110x337,Pham-Lewis,Cold Call,Converted,0
SF-a1a7f821,2023-11-22T22:05:52.904093,Christina,Mejia,anthony81@example.com,(843)238-0149,Vasquez PLC,Cold Call,Nurturing,1
SF-28161038,2024-03-20T19:20:46.602237,Charles,Jones,gregorygarcia@example.net,771-312-9413,Graves Ltd,Web,Converted,0
SF-6e1f9faa,2024-02-20T09:33:25.758489,Justin,Murray,hollygreer@example.net,+1-407-706-8106x229,Petersen Inc,Partner,Working,0
SF-7cb7a730,2025-02-01T22:09:56.340224,Ricky,Garcia,margaret14@example.net,938-750-6947x89583,Edwards-Wright,Trade Show,Working,0
SF-5b505b05,2023-10-05T19:09:33.930521,Mary,Warner,michaelbrown@example.com,(845)374-1180,Frazier-Krause,Cold Call,New,0
SF-338a2fc8,2025-02-14T16:51:19.383150,Matthew,Hopkins,vpittman@example.com,587.697.9429,"Jennings, Gonzalez and Turner",Web,Closed - Lost,1
SF-0a02a348,2024-10-31T02:17:18.920433,Ryan,Riddle,ricardo32@example.com,001-847-791-7369x1294,Ingram Group,Cold Call,Working,0
SF-660b7fcb,2024-05-06T02:39:07.972011,Thomas,Dixon,margaretgonzalez@example.net,+1-664-595-6130x445,Sullivan-Garcia,Cold Call,Working,0
SF-ce0d1de6,2024-08-26T16:35:07.792381,Patricia,Oconnor,andrewarmstrong@example.net,539-584-3003,"Johnson, Coleman and Moran",Web,Nurturing,1
SF-6780faa0,2024-09-08T18:37:35.977051,Amber,Francis,hardingstephen@example.com,817-606-9228x177,"Lee, Brown and Murphy",Partner,Nurturing,1
SF-28370fd9,2024-02-15T12:22:47.824747,Christian,Garcia,jlopez@example.net,+1-854-667-0415,"Roberts, Pratt and Warren",Cold Call,Converted,0
SF-6ad32014,2025-01-27T03:57:54.709334,Jessica,Mccarthy,leekathryn@example.net,360-565-6167,"Rice, Stout and Parker",Referral,Converted,0
SF-db614916,2023-08-28T12:11:37.150698,Shannon,Miller,jvillanueva@example.net,+1-561-769-2053x47479,"Sandoval, Dixon and Johnson",Partner,Working,0
SF-aaef81f9,2024-10-13T22:13:10.662926,Matthew,Thompson,lmartinez@example.org,934-871-2621x320,Baldwin-Garcia,Referral,Working,0
SF-30600f45,2023-08-10T11:28:58.667094,Danielle,Parrish,zstanton@example.net,848-963-8631x95566,Kidd-Liu,Partner,Working,1
SF-62d41d20,2024-07-02T20:40:09.337274,James,Herrera,angelalopez@example.net,(486)449-8734,Galloway-Wilson,Cold Call,Nurturing,0
SF-c691c5b5,2024-08-27T17:47:29.594027,David,French,coxtracy@example.com,(826)379-7717x58338,Ward-Ferguson,Partner,Nurturing,1
SF-af4d6c3c,2023-12-29T17:48:14.724347,Bryan,Willis,kristaadams@example.net,+1-454-346-3079x17506,"Sanders, Ruiz and Robinson",Partner,Converted,0
SF-5bb11981,2023-03-30T13:22:40.844377,Margaret,Baker,bryanmarks@example.com,+1-408-928-2643x14529,Coleman-Curry,Referral,New,0
SF-b0b2374e,2024-12-26T07:26:39.759730,Shane,Holmes,martinezdawn@example.net,+1-436-976-8267x34289,"Mccoy, Lee and Mathis",Referral,Closed - Lost,1
SF-0b232857,2023-06-16T12:51:59.251054,Angel,Moore,slane@example.com,818.725.0197x7318,Bauer Inc,Partner,Working,1
SF-98050bef,2025-02-12T01:12:40.556318,Ashley,Smith,joanna60@example.com,723-330-8219,Evans-Arias,Partner,Nurturing,0
SF-2cf4a132,2024-11-26T10:20:29.085603,Michael,Malone,sararichardson@example.org,(202)618-6436x4544,Richmond-Johnson,Trade Show,Converted,0
SF-155b4a55,2024-11-19T18:26:22.249182,Alyssa,Watson,jeffreywilliamson@example.net,+1-488-777-5541x042,Collins-Garcia,Partner,New,1
SF-e246f239,2024-10-30T20:31:59.514904,Nicholas,Reyes,wbennett@example.net,824.995.3354x259,Martin Ltd,Trade Show,Closed - Lost,1
SF-85f4990a,2023-11-19T20:46:52.021680,Angela,Smith,joanneramirez@example.com,697-433-1453x40223,Black Group,Cold Call,Working,1
SF-ffccdfc1,2024-04-21T18:44:43.417923,Joshua,Singh,jeffrey29@example.net,498-616-9564,Drake and Sons,Partner,Nurturing,1
SF-0155010a,2024-04-22T01:24:34.606847,Adrian,Espinoza,rhaynes@example.net,811-908-3603x6499,"King, Lopez and Mills",Trade Show,Closed - Lost,1
SF-754255e9,2024-01-11T10:14:31.102907,Bridget,Cobb,aaronstone@example.com,+1-765-769-5190x8822,"Hughes, Frank and Rivera",Trade Show,Closed - Lost,0
SF-946c9f03,2024-01-23T18:38:58.912547,Randy,Ruiz,swilliams@example.net,(257)696-3984,Reyes and Sons,Partner,Converted,1
SF-4bf6ace4,2023-05-05T06:39:12.077878,Melissa,Edwards,kmiller@example.org,261.317.5275,"Smith, Jones and Bauer",Referral,Working,0
SF-8d504254,2024-07-30T04:44:54.547256,Kathleen,Haas,alicethomas@example.net,(450)591-5945,Thompson-Cooper,Trade Show,Nurturing,0
SF-5aabf240,2024-10-27T15:43:47.599465,Deborah,Sampson,lawrencerick@example.org,315.395.1243x822,"Brown, Williams and Shelton",Referral,Converted,1
SF-4492fd84,2023-10-24T12:57:10.791403,Sarah,Tran,kenneth76@example.org,+1-905-990-4143x1857,Mueller PLC,Web,Working,1
SF-79945578,2024-04-07T12:34:42.842892,Caroline,Davis,jeremygriffin@example.com,6325920618,"Woods, Hull and Brown",Web,Working,1
SF-27b62190,2024-12-07T20:06:46.995427,Jonathan,Lee,zwallace@example.net,+1-349-274-9584x8347,Mills LLC,Partner,Closed - Lost,1
SF-038fd2b2,2024-10-23T03:23:24.716420,Samuel,Hampton,jaycollins@example.net,(419)912-7366,Hernandez LLC,Partner,Nurturing,0
SF-99ec4420,2023-12-22T21:57:15.923532,Steven,Gonzales,osanford@example.com,001-394-733-8731x74652,Mooney and Sons,Web,Closed - Lost,1
SF-9f9c0601,2023-04-23T18:56:59.900793,Derrick,Phillips,barrettbradley@example.net,319.962.7626x3693,Santos-Steele,Referral,Working,1
SF-fa089b48,2024-01-31T03:13:07.668991,Ian,Brown,rachelcruz@example.org,001-347-252-5646,Acevedo-Garrison,Partner,Working,1
SF-515359b3,2024-03-01T08:55:08.126934,Benjamin,Brown,mark19@example.org,949-223-1249,Rowe-Morris,Cold Call,New,0
